Warning: 100 points required, but 125 points sampled.
Warning: 10000 points required, but 12500 points sampled.
Compiling model...
'compile' took 3.059942 s

Training model...

Step      Train loss                        Test loss                         Test metric
0         [4.92e+00, 4.80e+02, 1.81e-01]    [3.95e+00, 4.80e+02, 1.81e-01]    []

Best model at step 0:
  train loss: 4.85e+02
  test loss: 4.84e+02
  test metric: []

'train' took 3.037069 s

Compiling model...
'compile' took 0.001218 s

Training model...

Step      Train loss                        Test loss                         Test metric
4600      [9.96e-03, 4.21e-03, 7.01e-03]    [6.56e-03, 4.21e-03, 7.01e-03]    []
4700      [9.61e-03, 4.86e-03, 6.78e-03]    [6.77e-03, 4.86e-03, 6.78e-03]    []
4800      [9.50e-03, 3.82e-03, 6.73e-03]    [6.21e-03, 3.82e-03, 6.73e-03]    []
4900      [9.02e-03, 3.81e-03, 6.55e-03]    [6.03e-03, 3.81e-03, 6.55e-03]    []
5000      [8.98e-03, 3.66e-03, 6.44e-03]    [5.82e-03, 3.66e-03, 6.44e-03]    []
5100      [8.78e-03, 3.76e-03, 6.42e-03]    [5.50e-03, 3.76e-03, 6.42e-03]    []
5200      [8.84e-03, 6.19e-03, 6.46e-03]    [6.44e-03, 6.19e-03, 6.46e-03]    []
5300      [9.07e-03, 3.57e-03, 6.20e-03]    [5.33e-03, 3.57e-03, 6.20e-03]    []
5400      [8.04e-03, 3.18e-03, 6.21e-03]    [5.03e-03, 3.18e-03, 6.21e-03]    []
5500      [8.52e-03, 3.27e-03, 6.04e-03]    [4.81e-03, 3.27e-03, 6.04e-03]    []
5600      [8.28e-03, 3.12e-03, 6.01e-03]    [4.69e-03, 3.12e-03, 6.01e-03]    []
5700      [8.41e-03, 2.99e-03, 5.93e-03]    [4.45e-03, 2.99e-03, 5.93e-03]    []
5800      [7.77e-03, 2.97e-03, 5.82e-03]    [4.31e-03, 2.97e-03, 5.82e-03]    []
5900      [7.20e-03, 2.85e-03, 5.80e-03]    [4.26e-03, 2.85e-03, 5.80e-03]    []
6000      [7.09e-03, 2.76e-03, 5.73e-03]    [4.36e-03, 2.76e-03, 5.73e-03]    []
6100      [7.78e-03, 2.78e-03, 5.65e-03]    [4.18e-03, 2.78e-03, 5.65e-03]    []
6200      [6.56e-03, 2.75e-03, 5.51e-03]    [4.23e-03, 2.75e-03, 5.51e-03]    []
6300      [6.71e-03, 2.58e-03, 5.42e-03]    [4.12e-03, 2.58e-03, 5.42e-03]    []
6400      [6.56e-03, 3.06e-03, 5.43e-03]    [4.31e-03, 3.06e-03, 5.43e-03]    []
6500      [6.27e-03, 2.56e-03, 5.36e-03]    [4.04e-03, 2.56e-03, 5.36e-03]    []
6600      [6.18e-03, 3.34e-03, 5.31e-03]    [4.27e-03, 3.34e-03, 5.31e-03]    []
6700      [6.26e-03, 2.63e-03, 5.32e-03]    [3.74e-03, 2.63e-03, 5.32e-03]    []
6800      [6.04e-03, 2.56e-03, 5.29e-03]    [3.83e-03, 2.56e-03, 5.29e-03]    []
